0.0,3.178,3.695,3.211,3.738,5.622,3.263,2.429,1.254,3.456,7.731,5.441,8.448,10.151,7.473,9.009,10.049,7.472,7.519,6.492,9.76,5.962,5.181,4.463,6.383,9.838,6.159,2.526,4.188,7.388,8.047
3.178,0.0,2.023,2.18,2.856,4.589,0.477,3.29,2.92,0.133,2.609,4.676,5.37,9.325,5.265,8.626,9.223,5.09,5.646,3.974,7.619,6.092,4.281,1.758,3.865,7.697,6.435,2.212,5.553,5.091,6.174
3.694,2.022,0.0,3.124,1.782,3.78,1.853,1.688,3.298,1.889,3.429,3.599,6.064,8.309,5.338,7.167,8.207,5.163,5.677,5.953,9.598,8.007,5.094,3.445,5.844,9.676,8.204,2.523,3.952,7.079,6.205
3.485,2.181,3.136,0.0,4.703,6.436,2.263,4.303,2.533,2.456,5.125,6.523,7.575,10.125,7.008,10.883,10.023,6.833,7.493,3.973,7.193,4.339,2.528,1.192,3.863,7.271,4.682,0.902,7.667,4.821,8.021
3.738,2.856,1.782,4.486,0.0,2.784,2.687,1.304,3.614,2.723,3.742,2.603,5.388,7.313,4.69,6.452,7.211,4.515,4.681,6.788,10.433,8.321,6.803,4.28,6.679,10.511,8.518,4.891,3.566,7.914,5.209
5.622,4.577,3.78,6.423,2.784,0.0,4.408,3.188,5.498,4.444,4.159,0.331,3.07,5.196,2.095,6.038,5.094,2.094,2.564,8.208,11.853,10.206,8.524,6.001,8.099,11.931,10.403,6.775,4.937,9.325,3.092
3.208,0.477,1.854,2.262,2.687,4.42,0.0,3.121,2.95,0.44,2.815,4.507,5.576,8.109,4.992,8.457,8.007,4.817,5.477,4.348,7.993,6.174,4.363,1.84,4.239,8.071,6.517,2.195,5.384,5.474,6.005
2.429,3.355,1.688,4.267,1.304,3.188,3.186,0.0,2.305,3.222,4.119,3.007,6.014,7.718,5.039,6.575,7.616,5.038,5.086,8.385,12.03,7.013,6.591,6.356,8.276,12.108,7.21,3.582,3.359,9.281,5.614
1.338,2.974,3.6,2.428,3.643,5.527,3.059,2.335,0.0,3.252,5.544,5.346,8.353,10.057,7.378,8.914,9.955,7.377,7.425,5.792,9.018,4.954,4.532,3.012,5.682,9.096,5.151,1.991,5.698,6.646,7.953
3.456,0.133,1.89,2.455,2.723,4.456,0.44,3.157,3.198,0.0,2.476,4.543,5.237,9.192,5.132,8.493,9.09,4.957,5.513,4.14,7.785,6.367,4.556,2.033,4.031,7.863,6.71,2.487,5.42,5.256,6.041
